site	plot	latitude	longitude
Mbaiki	13	3.88312091607231	17.9012798923876
Mbaiki	16	3.87479848197751	17.8936501062324
Mbaiki	24	3.82216556398601	17.8646513827435
Mbaiki	11	3.87778310164771	17.9033036902367
Mbaiki	14	3.87023169986626	17.8895145487702
Mbaiki	21	3.82964888745078	17.8667991929446
Mbaiki	12	3.88070141808299	17.9059494052695
Mbaiki	15	3.87596484200652	17.8907844237247
Mbaiki	22	3.82607016081974	17.8669851816294
Mbaiki	23	3.82501241913543	17.8644629403585
Misiones	P1	-26.9178	-54.22924
